n,t,i,p,u,v
321,1.7500000000000009,3,0.00584676712668842,0.00010024328612784448,4.161496772202104e-05
322,1.7500000000000009,1,-,-,-
323,1.7500000000000009,2,-,-,-
324,1.7500000000000009,3,0.006149512191786783,0.0001089777535855185,4.548042440085897e-05
325,1.800000000000001,1,-,-,-
326,1.800000000000001,2,-,-,-
327,1.800000000000001,3,0.005863423029019985,0.00010300055599100937,4.236605913714523e-05
328,1.800000000000001,1,-,-,-
329,1.800000000000001,2,-,-,-
330,1.800000000000001,3,0.005606674106266399,9.602266468855769e-05,3.8408848300718647e-05
331,1.800000000000001,1,-,-,-
332,1.800000000000001,2,-,-,-
333,1.800000000000001,3,0.0058867227916968076,0.00010392707330141615,4.244428708221415e-05
334,1.850000000000001,1,-,-,-
335,1.850000000000001,2,-,-,-
336,1.850000000000001,3,0.005618348194181583,9.84576398362128e-05,4.0137534326567765e-05
337,1.850000000000001,1,-,-,-
338,1.850000000000001,2,-,-,-
339,1.850000000000001,3,0.005377056401883093,9.262214425243176e-05,3.76698356452056e-05
340,1.850000000000001,1,-,-,-
341,1.850000000000001,2,-,-,-
342,1.850000000000001,3,0.0056459056980291775,0.00010250168335910333,4.304304345908235e-05
343,1.900000000000001,1,-,-,-
344,1.900000000000001,2,-,-,-
345,1.900000000000001,3,0.005393750298341739,9.471774898965276e-05,3.9530622884566425e-05
346,1.900000000000001,1,-,-,-
347,1.900000000000001,2,-,-,-
348,1.900000000000001,3,0.00516485025608751,9.180405634617382e-05,3.6222966567429684e-05
349,1.900000000000001,1,-,-,-
350,1.900000000000001,2,-,-,-
351,1.900000000000001,3,0.005422292960357372,9.506377063720467e-05,3.947010491967642e-05
352,1.950000000000001,1,-,-,-
353,1.950000000000001,2,-,-,-
354,1.950000000000001,3,0.005185461206026607,9.058288016629761e-05,3.793496854889183e-05
355,1.950000000000001,1,-,-,-
356,1.950000000000001,2,-,-,-
357,1.950000000000001,3,0.0049717470805339965,8.467854917879234e-05,3.4794176905818275e-05
358,1.950000000000001,1,-,-,-
359,1.950000000000001,2,-,-,-
360,1.950000000000001,3,0.005218807342545449,9.113608722940606e-05,3.7682760154848893e-05
361,2.000000000000001,1,-,-,-
362,2.000000000000001,2,-,-,-
363,2.000000000000001,3,0.005004080928089809,8.695377107340374e-05,4.0097052927793745e-05
364,2.000000000000001,1,-,-,-
365,2.000000000000001,2,-,-,-
366,2.000000000000001,3,0.0048083830189800765,8.07054518720518e-05,3.297026145303386e-05
367,2.000000000000001,1,-,-,-
368,2.000000000000001,2,-,-,-
369,2.000000000000001,3,0.005048345481643118,8.885144021917774e-05,3.553554770086533e-05
370,2.0500000000000007,1,-,-,-
371,2.0500000000000007,2,-,-,-
372,2.0500000000000007,3,0.004852108751032901,8.237699747417376e-05,3.44994222427361e-05
373,2.0500000000000007,1,-,-,-
374,2.0500000000000007,2,-,-,-
375,2.0500000000000007,3,0.00466571423643198,7.665431066854491e-05,3.141058337875514e-05
376,2.0500000000000007,1,-,-,-
377,2.0500000000000007,2,-,-,-
378,2.0500000000000007,3,0.004892113755229833,8.251454321178197e-05,3.732522211422221e-05
379,2.1000000000000005,1,-,-,-
380,2.1000000000000005,2,-,-,-
381,2.1000000000000005,3,0.004686910178829949,7.78104524591179e-05,3.2806036249608164e-05
382,2.1000000000000005,1,-,-,-
383,2.1000000000000005,2,-,-,-
